20221017_163737.455968797,,6383,4,3600,12,0,3,0,765
20221017_163737.563331039,,6384,4,3600,12,0,3,0,764
20221017_163737.691296107,,6386,4,3600,12,0,3,0,759
20221017_163738.290890639,,6391,4,3600,12,0,3,0,754
20221017_163738.455116277,,6392,4,3600,12,0,3,0,753
20221017_163738.555944401,,6393,4,3600,12,0,3,0,752
20221017_163738.658099350,,6395,4,3600,12,0,3,0,749
20221017_163739.362894474,,6401,4,3600,12,0,3,0,743
20221017_163739.482425561,,6402,4,3600,12,0,3,0,742
20221017_163739.655276824,,6403,4,3600,12,0,3,0,741
20221017_163740.355858006,,6410,4,3600,12,0,3,0,734
20221017_163740.455621408,,6411,4,3600,12,0,3,0,733
20221017_163740.570231732,,6412,4,3600,12,0,3,0,732
20221017_163741.455919964,,6420,4,3600,12,0,3,0,725
20221017_163741.555034417,,6421,4,3600,12,0,3,0,724
20221017_163741.656665194,,6422,4,3600,12,0,3,0,723
20221017_163742.362741423,,6429,4,3600,12,0,3,0,714
20221017_163742.483110718,,6430,4,3600,12,0,3,0,713
20221017_163742.655211310,,6431,4,3600,12,0,3,0,712
20221017_163743.563529313,,6440,4,3600,12,0,3,0,702
20221017_163743.684088532,,6442,4,3600,12,0,3,0,699
20221017_163744.462216619,,6448,4,3600,12,0,3,0,693
20221017_163744.557978818,,6449,4,3600,12,0,3,0,692
20221017_163744.658839030,,6450,4,3600,12,0,3,0,691
20221017_163745.490930400,,6458,4,3600,12,0,3,0,685
20221017_163745.655414533,,6459,4,3600,12,0,3,0,684
20221017_163745.856217526,,6461,4,3600,12,0,3,0,682
20221017_163745.961602176,,6463,4,3600,12,0,3,0,679
20221017_163746.083889536,,6464,4,3600,12,0,3,0,678
20221017_163746.256436703,,6465,4,3600,12,0,3,0,677
20221017_163746.357499681,,6466,4,3600,12,0,3,0,676
20221017_163746.456452611,,6467,4,3600,12,0,3,0,675
20221017_163746.562787190,,6468,4,3600,12,0,3,0,674
20221017_163746.683432955,,6469,4,3600,12,0,3,0,673
20221017_163747.458138532,,6476,4,3600,12,0,3,0,665
20221017_163747.555657051,,6477,4,3600,12,0,3,0,664
20221017_163747.655778275,,6479,4,3600,12,0,3,0,659
20221017_163748.494182369,,6486,4,3600,12,0,3,0,652
20221017_163748.655054818,,6487,4,3600,12,0,3,0,651
20221017_163749.465583519,,6495,4,3600,12,0,3,0,643
20221017_163749.557543022,,6496,4,3600,12,0,3,0,642
20221017_163749.691602095,,6498,4,3600,12,0,3,0,639
20221017_163750.556508987,,6505,4,3600,12,0,3,0,632
20221017_163750.656574735,,6507,4,3600,12,0,3,0,629
20221017_163751.658800544,,6515,4,3600,12,0,3,0,621
20221017_163752.562148148,,6524,4,3600,12,0,3,0,612
20221017_163752.757754054,,6526,4,3600,12,0,3,0,609
20221017_163753.562039111,,6533,4,3600,12,0,3,0,602
20221017_163755.698466351,,6554,4,3600,12,0,3,0,579
20221017_163755.855061662,,6555,4,3600,12,0,3,0,578
20221017_163756.168747117,,6558,4,3600,12,0,3,0,575
20221017_163756.299738650,,6559,4,3600,12,0,3,0,574
20221017_163756.455535527,,6560,4,3600,12,0,3,0,573
20221017_163757.655826344,,6571,4,3600,12,0,3,0,562
20221017_163758.677600387,51213,4,3187,6,0,6,0,39
20221017_163758.680828875,,6582,4,3600,12,0,3,0,549
20221017_163759.655119253,,6590,4,3600,12,0,3,0,541
20221017_163759.773488732,,6592,4,3600,12,0,3,0,539
20221017_163759.873945870,51224,4,3187,6,0,6,0,28
20221017_163759.883245126,,6593,4,3600,12,0,3,0,538
20221017_163800.055350407,51225,4,3187,6,0,6,0,27
20221017_163800.059534504,,6595,4,3600,12,0,3,0,536
20221017_163800.091231892,51226,4,3187,6,0,6,0,26
20221017_163800.167037454,,6596,4,3600,12,0,3,0,535
20221017_163800.278618664,51228,4,3187,6,0,6,0,24
20221017_163800.392008796,51229,4,3187,6,0,6,0,23
20221017_163800.655122991,51231,4,3187,6,0,6,0,21
20221017_163804.859856833,,6640,4,3600,12,0,3,0,488
20221017_163804.976584553,,6641,4,3600,12,0,3,0,487
20221017_163805.097351859,,6642,4,3600,12,0,3,0,486
20221017_163805.454960627,,6645,4,3600,12,0,3,0,483
20221017_163805.570531247,,6646,4,3600,12,0,3,0,482
20221017_163805.690872726,,6648,4,3600,12,0,3,0,479
20221017_163805.858325566,,6649,4,3600,12,0,3,0,478
20221017_163805.957528205,,6650,4,3600,12,0,3,0,477
20221017_163806.057923699,,6651,4,3600,12,0,3,0,476
20221017_163806.170724275,,6652,4,3600,12,0,3,0,475
20221017_163806.495249443,,6654,4,3600,12,0,3,0,473
20221017_163806.555003178,,6655,4,3600,12,0,3,0,472
20221017_163806.657287504,,6657,4,3600,12,0,3,0,469
20221017_163807.971311040,,6669,4,3600,12,0,3,0,457
20221017_163808.355017920,,6672,4,3600,12,0,3,0,454
20221017_163809.454988524,,6682,4,3600,12,0,3,0,443
